Folder evaluated: results/inf
Reference folder: dataset/src
Date: 2026-09-08 15:11:07
Device: cuda

filename                                          PSNR         LPIPS         DISTS          VMAF           FID
--------------------------------------------------------------------------------------------------------------
base1.png                                    23.428327      0.195519      0.188730     11.449017       91.0313
base2.png                                    21.885138      0.190572      0.209174     11.353497       91.0313
citadel_metalwall077a.png                    25.490318      0.207156      0.218645     23.885344       91.0313
concrete_bts_ceiling001b.png                 25.889697      0.173587      0.191030     30.909397       91.0313
concrete_bts_floor001b.png                   33.153790      0.160156      0.179585     45.635345       91.0313
concrete_bts_modular_wall001a.png            26.093792      0.198766      0.164331     23.095161       91.0313
concrete_bts_modular_wall001b.png            24.947673      0.215990      0.152279     23.949446       91.0313
concrete_bts_modular_wall001c.png            24.354479      0.199761      0.172688     21.597940       91.0313
concrete_bts_modular_wall001d.png            24.951123      0.217621      0.155041     24.699009       91.0313
concrete_bts_wall001a.png                    26.611818      0.159783      0.189546     26.304443       91.0313
concrete_bts_wall001b.png                    28.891935      0.215111      0.184802     22.483959       91.0313
concrete_modular_floor001a.png               29.715580      0.159059      0.141353     30.070343       91.0313
concrete_modular_floor001b.png               29.716073      0.161735      0.134578     29.529274       91.0313
concrete_modular_floor001c.png               28.680008      0.160750      0.132634     32.009621       91.0313
concrete_modular_wall001a.png                26.786220      0.202140      0.173991     27.726135       91.0313
concrete_modular_wall001c.png                26.668137      0.205128      0.168581     27.840380       91.0313
concrete_modular_wall001d.png                26.349202      0.207793      0.176182     27.207600       91.0313
concrete_modular_wall001i.png                26.708421      0.202686      0.172868     32.992748       91.0313
concrete_modular_wall002.png                 29.675239      0.182547      0.131483     33.971748       91.0313
concretefloor031a.png                        25.854334      0.228737      0.158716     18.285521       91.0313
concretewall001a.png                         25.158428      0.159634      0.199081     25.166454       91.0313
concretewall_bts_002a.png                    29.777050      0.121950      0.208520     48.248341       91.0313
metalpipe003a.png                            25.134733      0.263797      0.270203     18.860863       91.0313
metalwall_bts_001b.png                       26.519460      0.281493      0.265457     15.968288       91.0313
metalwall_bts_002a.png                       27.178730      0.186809      0.155204     32.872475       91.0313
metalwall_bts_006a.png                       24.157743      0.150194      0.181127     41.289028       91.0313
orangeslime001a.png                          22.927362      0.121056      0.159600     45.011448       91.0313
plasterwall003a.png                          24.728767      0.193778      0.202515     23.590849       91.0313
plasterwall003k.png                          24.800413      0.201457      0.175425     21.775652       91.0313
plasterwall003l.png                          24.663762      0.200824      0.190976     24.016088       91.0313
sample1.png                                  20.839143      0.183679      0.233410     25.288948       91.0313
--------------------------------------------------------------------------------------------------------------
MEAN                                         26.185061      0.190622      0.181863     27.325302       91.0313
