Folder evaluated: ../AEIC/old_third/inf
Reference folder: ../AEIC/old_third/src
Date: 2026-09-09 09:40:48
Device: cuda

filename                                          PSNR         LPIPS         DISTS          VMAF           FID
--------------------------------------------------------------------------------------------------------------
0001.png                                     18.942390      0.401471      0.126142     11.021239       71.8115
0002.png                                     18.892499      0.416526      0.114989      3.870249       71.8115
0003.png                                     16.417784      0.374926      0.100320      4.331982       71.8115
0004.png                                     22.154023      0.216543      0.098955      0.000000       71.8115
0005.png                                     15.701032      0.311243      0.166632      8.618642       71.8115
0006.png                                     20.708524      0.232794      0.123383      2.682437       71.8115
0007.png                                     16.357878      0.433741      0.130901      6.446434       71.8115
0008.png                                     17.788053      0.369786      0.109295      9.944497       71.8115
0009.png                                     15.939956      0.290157      0.107433      8.129617       71.8115
0010.png                                     19.472967      0.273042      0.090006      4.439244       71.8115
0011.png                                     15.822810      0.406911      0.143625      5.980575       71.8115
0012.png                                     17.209711      0.319745      0.100833      6.077364       71.8115
0013.png                                     22.045978      0.070221      0.083253      0.000000       71.8115
0014.png                                     17.638099      0.334935      0.110972      6.639695       71.8115
0015.png                                     14.759222      0.349413      0.125360      2.882680       71.8115
0016.png                                     18.595326      0.403784      0.111360      7.926518       71.8115
0017.png                                     19.168523      0.320006      0.122923     12.726003       71.8115
0018.png                                     16.597271      0.370589      0.098286      6.647946       71.8115
0019.png                                     17.819760      0.407551      0.138269      6.150988       71.8115
0020.png                                     20.464592      0.314854      0.089319     10.624245       71.8115
0021.png                                     18.088575      0.241894      0.104997      2.893152       71.8115
0022.png                                     15.653904      0.367074      0.104783      4.858770       71.8115
0023.png                                     24.368361      0.218200      0.107228      9.307909       71.8115
0024.png                                     18.593511      0.426971      0.124204     15.735042       71.8115
0025.png                                     20.480417      0.405221      0.127644     14.899480       71.8115
0026.png                                     13.611336      0.515247      0.128827      7.109044       71.8115
0027.png                                     19.928175      0.217754      0.097615      0.000000       71.8115
0028.png                                     20.324332      0.278747      0.087436      4.006706       71.8115
0029.png                                     13.578077      0.437771      0.133301      7.366726       71.8115
0030.png                                     18.588522      0.339350      0.107451      6.758381       71.8115
0031.png                                     17.662697      0.344412      0.084629     14.685908       71.8115
0032.png                                     22.675282      0.270832      0.093481      7.573633       71.8115
--------------------------------------------------------------------------------------------------------------
MEAN                                         18.314050      0.333803      0.112308      6.885472       71.8115
